# E_Mean  E_Lower  E_Upper  FastNeutron  AtmosphericCC  AtmosphericNC  Accidental  Spallation  Reactor
28.45  28.40  28.50    0.1449    0.0667    0.2193    0.0000    0.0000    0.0000
28.55  28.50  28.60    0.1449    0.0669    0.2185    0.0000    0.0000    0.0000
28.65  28.60  28.70    0.1449    0.0671    0.2177    0.0000    0.0000    0.0000
28.75  28.70  28.80    0.1449    0.0673    0.2170    0.0000    0.0000    0.0000
28.85  28.80  28.90    0.1449    0.0674    0.2162    0.0000    0.0000    0.0000
28.95  28.90  29.00    0.1449    0.0676    0.2155    0.0000    0.0000    0.0000
29.05  29.00  29.10    0.1449    0.0678    0.2148    0.0000    0.0000    0.0000
29.15  29.10  29.20    0.1449    0.0679    0.2141    0.0000    0.0000    0.0000
29.25  29.20  29.30    0.1449    0.0681    0.2134    0.0000    0.0000    0.0000
29.35  29.30  29.40    0.1449    0.0683    0.2127    0.0000    0.0000    0.0000
29.45  29.40  29.50    0.1449    0.0684    0.2120    0.0000    0.0000    0.0000
29.55  29.50  29.60    0.1449    0.0686    0.2113    0.0000    0.0000    0.0000
29.65  29.60  29.70    0.1449    0.0688    0.2106    0.0000    0.0000    0.0000
29.75  29.70  29.80    0.1449    0.0689    0.2098    0.0000    0.0000    0.0000
29.85  29.80  29.90    0.1449    0.0691    0.2091    0.0000    0.0000    0.0000
29.95  29.90  30.00    0.1304    0.0623    0.1876    0.0000    0.0000    0.0000
30.05  30.00  30.10    0.1304    0.0623    0.1876    0.0000    0.0000    0.0000
30.15  30.10  30.20    0.1304    0.0623    0.1876    0.0000    0.0000    0.0000
30.25  30.20  30.30    0.1304    0.0623    0.1876    0.0000    0.0000    0.0000
30.35  30.30  30.40    0.1304    0.0623    0.1876    0.0000    0.0000    0.0000
30.45  30.40  30.50    0.1304    0.0623    0.1876    0.0000    0.0000    0.0000
